sentence,sense_id
The two Explorer class submarines were experimental vessels built for the Royal Navy to test a <b>propulsion</b> system based on the use of highly concentrated Hydrogen peroxide (HTP) and diesel fuel to achieve high underwater endurance and speeds.,propulsion.n.en.01
"To further dampen pressure oscillations in the fuel and oxidzer pumps and feed lines, cavities in these systems were filled with helium gas from the <b>propulsion</b> system's pneumatic control system, which acted to attenuate the oscillations.",propulsion.n.en.01
"Rocheworld (1985), also known as The Flight of the Dragonfly (1984) is a science fiction novel by Robert Forward in which he uses a light sail <b>propulsion</b> system to set the crew on an interstellar mission.",propulsion.n.en.01
* Kh-15 (AS-16 Kickback) hypersonic aeroballistic short-range attack missile using liquid-fuel rocket <b>propulsion</b>.,propulsion.n.en.01
"This system permits personnel in the pilot house to control the ship's speed directly, as the <b>propulsion</b> plant responds to their orders.",propulsion.n.en.01
"The name is reminiscent of several real high-tech companies, including Teradyne, which was founded a few years before Pynchon wrote The Crying of Lot 49, and Rocketdyne, an aerospace company that manufactured, among other things, <b>propulsion</b> systems.",propulsion.n.en.01
"The NASA Lewis Research Center, Cleveland, Ohio, and NASA Langley Research Center, Hampton, Virginia, are contributing expertise in the areas of <b>propulsion</b>, structures, and systems analysis.",propulsion.n.en.01
"Its purcursor is an electromagnetic <b>propulsion</b> system, which is currently used in UT-1D Civilian Astray DSSD Custom.",propulsion.n.en.01
"Because the design had to meet the Royal Navy's requirements, nuclear propulsion was not an option: the British government rejected nuclear <b>propulsion</b> as too costly.",propulsion.n.en.01
"The <b>propulsion</b> unit was used to retrieve two communication satellites, Westar VI and Palapa B2, that did not reach their proper orbits because of faulty propulsion modules.",propulsion.n.en.01
There have been prototype cars since the 1920s and compressed air has been used in torpedo <b>propulsion</b> as well.,propulsion.n.en.01
Von der Tann was the first large German warship to use turbine <b>propulsion</b>.,propulsion.n.en.01
"In a cutaway drawing prepared for an accompanying comic book, Thunderbird 1's <b>propulsion</b> is by a hybrid gas-turbine/ramjet not unlike the engine system of the SR-71 Blackbird.",propulsion.n.en.01
"The line used steam <b>propulsion</b> until 1970, after which diesel trains were used until the line was closed on 31 December 31 1988.",propulsion.n.en.01
"The U-1 was a single axle semi-trailer, The specifications for its successor the U-2 a double axis semi-trailer were issued on 15 March 1957 NASA-LIQUID HYDROGEN AS A <b>PROPULSION</b> FUEL,1945-1959.",propulsion.n.en.01
Field emission electric <b>propulsion</b> (FEEP)Field emission electric propulsion (FEEP) thrusters use a very simple system of accelerating liquid metal ions to create thrust.,propulsion.n.en.01
It is also possible to upgrade these submarines with the latest air independent <b>propulsion</b> (AIP) systems.,propulsion.n.en.01
"Hadeler planned on getting the two inner shafts and their respective <b>propulsion</b> systems operational first, giving the ship an initial speed of 25-26 knots, fast enough for sea trials to commence and for conducting air training exercises.",propulsion.n.en.01
"In 1784, Jean-Pierre Blanchard fitted a hand-powered propeller to a balloon, the first recorded means of <b>propulsion</b> carried aloft.",propulsion.n.en.01
"Each vessel had: two 12YHAXM (intercooled) for main <b>propulsion</b>, rated 550 bhp at 1,000 rpm, plus one 12YHAZ for pulse generation.",propulsion.n.en.01
More imaginative ideas in fiction include anti-gravity systems and screw <b>propulsion</b>.,propulsion.n.en.01
"A Co-Co type of the locomotive means it is equipped with two bogies, each of them having three axles with separate <b>propulsion</b> for each wheel set.",propulsion.n.en.01
"For <b>propulsion</b>, the design featured two shafts, with twin diesel engines of bhp () (total) for surface running at up to knots (0 km/h), and twin electric motors of shp () (total) for submerged travel at up to knots (km/h).",propulsion.n.en.01
"Since Tharok had no time to build a <b>propulsion</b> device, one of them must carry the bomb to the core and detonate it manually-- an act which would result in that person's death.",propulsion.n.en.01
"Astern <b>propulsion</b> does not necessarily imply the ship is moving astern (in reverse); astern propulsion is used to slow a ship by applying a force in the direction of the stern of the ship, instead of the bow.",propulsion.n.en.01
"They are the mammals most fully adapted to aquatic life with a spindle-shaped nearly hairless body, protected by a thick layer of blubber, and forelimbs and tail modified to provide <b>propulsion</b> underwater.",propulsion.n.en.01
However they were inferior to the more modern Dreadnought type designs &#8211; with their all big gun armament and turbine <b>propulsion</b> &#8211; which appeared immediately afterwards.,propulsion.n.en.01
This is because a slow spacecraft would probably be passed by another mission sent later with more advanced <b>propulsion</b>.,propulsion.n.en.01
"Other critics commended Carey on her novel singing style which, according to Kelefa Sanneh of New York Times, gives the song its <b>propulsion</b>.",propulsion.n.en.02
"A serious Engine Room flood left her without power or <b>propulsion</b>, ""[(Royal Navy) ()].",propulsion.n.en.01
"In his 1925 paper &#8220;&#1055;&#1088;&#1086;&#1073;&#1083;&#1077;&#1084;&#1072; &#1087;&#1086;&#1083;&#1077;&#1090;&#1072; &#1087;&#1088;&#1080; &#1087;&#1086;&#1084;&#1086;&#1097;&#1080; &#1088;&#1077;&#1072;&#1082;&#1090;&#1080;&#1074;&#1085;&#1099;&#1093; &#1072;&#1087;&#1087;&#1072;&#1088;&#1072;&#1090;&#1086;&#1074;: &#1084;&#1077;&#1078;&#1087;&#1083;&#1072;&#1085;&#1077;&#1090;&#1085;&#1099;&#1077; &#1087;&#1086;&#1083;&#1077;&#1090;&#1099; &#8221; [Problems of flight by jet propulsion: interplanetary flights], Zander&#8216;s 1925 paper, &#8220;Problems of flight by jet <b>propulsion</b>: interplanetary flights, &#8221; was translated by NASA.",propulsion.n.en.01
"*Sukhoi Su-5- Combined propeller/thermojet <b>propulsion</b>. 1 built, first flown 6 April 1945.",propulsion.n.en.01
"One of Continental's main areas of expertise and technological leadership is Fuel Consumption Reduction, achieved through more efficient fuel injection systems, reduced rolling resistance tyres and hybrid <b>propulsion</b> systems.",propulsion.n.en.01
"A liquid bi-propellant <b>propulsion</b> subsystem was used on the Intelsat VI series satellites, and used nitrogen tetra-oxide and mono-methyl hydrazine.",propulsion.n.en.01
"The overall shape is similar to other Indonesian U20Cs, but it has a Brightstar Sirius on-board computer to control the <b>propulsion</b> and transmission, for better fuel economy and lifetime.",propulsion.n.en.01
Interstellar Probe was a proposed solar sail <b>propulsion</b> spacecraft planned by NASA Jet Propulsion Laboratory.,propulsion.n.en.01
* Fins for efficient <b>propulsion</b>,propulsion.n.en.01
"Commissioning was planned for 2010, but has now been delayed to 2012 as a result of design changes and delays in supply of <b>propulsion</b> systems from Ukraine and Russia.",propulsion.n.en.01
By 1827 he had obtained his first patent; he also won a first class Gold Medal of the Royal Society of Arts in Paris for his paper on ship <b>propulsion</b> using an early form of jet propulsion.,propulsion.n.en.01
* An exercise bicycle remains stationary; it is used for exercise rather than <b>propulsion</b>.,propulsion.n.en.02
"On top of the Jupiter <b>propulsion</b> section was a guidance and control compartment that supported a rotating tub containing the rocket stages 2, 3 and 4. Pioneer 4 was mounted on top of stage 4.",propulsion.n.en.01
Aerojet successfully qualified a 4.5 kW Hall effect thruster electric <b>propulsion</b> system based on technology licensed from the Busek Corporation.,propulsion.n.en.01
"Since the Paleozoic, as competition with fish produced an environment where efficient motion was crucial to survival, jet <b>propulsion</b> has taken a back role, with fins and tentacles used to maintain a steady velocity.",propulsion.n.en.01
"It was easy to fly, rugged, and easy to operate on the ground, including the ability to fly from short airfields and with bad terrain conditions, in spite of its relatively underpowered <b>propulsion</b> system and the lack of leading edge slats.",propulsion.n.en.01
The <b>propulsion</b> system is based on Combined Diesel and Diesel (CODAD) and includes water-jets for improved maneuverability in shallow waters and high-speed performance.,propulsion.n.en.01
"In the former form, their <b>propulsion</b> came from the stern while they shot their blasts from the bow of the ship.",propulsion.n.en.01
"On diesel and gas turbine <b>propulsion</b> plants The Second is in charge of auxiliary boilers, auxiliary engines, incinerator, air compressors, fuel, and fuel oil purifiers.",propulsion.n.en.01
"They are the mammals most fully adapted to aquatic life with a spindle-shaped nearly hairless body, protected by a thick layer of blubber, and forelimbs and tail modified to provide <b>propulsion</b> underwater.",propulsion.n.en.01
His fists can detach and fire through rocket <b>propulsion</b> to strike his enemies.,propulsion.n.en.01
"<b>propulsion</b>, aerospace systems, transportation, system dynamics and control), Materials Engineering (including materials processing, materials properties and performance, polymers, nanoscience), Chemical Engineering (incl.",propulsion.n.en.01
* U.S. Patent- Marine <b>propulsion</b> mechanism,propulsion.n.en.01
"Her ""SSGN"" designation indicates a cruise-missile submarine with a nuclear <b>propulsion</b> plant.",propulsion.n.en.01
"As a class, Bahia and Rio Grande do Sul were the fastest cruisers in the world when they were commissioned, and the first in the Brazilian Navy to utilize steam turbines for <b>propulsion</b>.",propulsion.n.en.01
"For <b>propulsion</b>, they featured a single shaft, a single bhp () diesel engine for surface running, and a single shp () electric motor for submerged travel.",propulsion.n.en.01
"Under his direction, Marshall was responsible for managing the Shuttle's <b>propulsion</b> system, including the solid rocket boosters (SRBs) and the main engines on the Orbiter.",propulsion.n.en.01
